Output by mine,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,
Lodestone Dordabis Iron Ore Mine (tonnes of iron ore) ,,,,,,,,,,,,,,,,,,,,,,,,,," 4,000 "," 8,478 ","2,450","1,956","4,030"," 40,544 "," 75,718 ",0,"7,944",,,,,,,,,,,,,,,,,,,,
Imerys Gecko Graphite Namibia (tonnes of graphite flakes),,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,216","3,456",0, -   , -   , -   ,0,,,,,,,,,,,,,,,,,,,,
Ohorongo Cement ,,,,,,,,,,,,,,,,,,,,,,"389,538","501,385","662,087","730,632","796,055","777,751","696,004","548,749",,,,,,,,,,,,,,,,,,,,,,,,,
Cheeth Cement (Whale Rock) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 295,687 ",,,,,,,,,,,,,,,,,,,,,,
Walvis Bay Salt & Chemicals (tonnes of coarse salt) ,n/a ,n/a,n/a,n/a,"248,705","320,000","258,721","432,290","434,198","429,230","482,000","500,441","552,000","567,000","717,000","670,000","576,000","665,000","642,000","720,000","792,000","738,000","725,000","717,612"," 689,947 "," 614,980 "," 698,590 ","735,205","1,015,205","901,797","886,333"," 794,042 ","918,351","1,009,993",,,,,,,,,,,,,,,,,,,,
The Salt Company  (total product - tonnes) ,"111,780","98,222","70,431","85,211","62,932","65,370","45,265","58,132","73,163","73,540","41,009","75,650","70,000","116,526","85,374","89,726","88,045","95,809","90,000","79,150","676,019","525,317","85,000","109,373"," 107,458 "," 118,000 ","136,949","131,381",no info,no info,,,,,,,,,,,,,,,,,,,,,,,,
Coarse salt (tonnes) ,"110,800","90,727","62,600","80,000","58,930","60,000","43,550","47,270","61,915","60,100","32,077","58,000","54,729","84,818","62,583","66,994","61,423","66,585",no info,"61,800","651,219","516,417",no info ,no info ,,,,"114,350","124,520","67,871","83,589"," 112,019 ","81,132","122,729",,,,,,,,,,,,,,,,,,,,
Refined salt (tonnes) ,980,"1,065","1,153","1,200",800,"1,670","1,715","5,854","5,223","7,220","4,347","11,250","9,640","11,099","11,384","10,135","12,285","13,317",no info,"9,000","13,200","8,900",no info ,no info ,,,,"12,719","7,000","10,426","14,030"," 16,979 ","19,080","17,195",,,,,,,,,,,,,,,,,,,,
Rock salt (tonnes) ,n/a ,"6,430","6,678","4,011","3,202","3,700",n/a,"5,008","6,025","6,220","4,585","6,400","5,631","11,421","7,069","7,399","9,072","10,200",no info,"4,950","10,300",n/a,no info ,no info ,,,,"3,480","3,585","3,093",630," 2,939 ",533,503,,,,,,,,,,,,,,,,,,,,
Table salt (tonnes) ,,,,,,,,,,,,,,"9,188","4,338","5,198","5,265","5,707",,"3,400","1,300",n/a,,,,,,832,843,167,"3,290", 698 ,"3,352","4,146",,,,,,,,,,,,,,,,,,,,
Gecko Salt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,650","58,053", no info  , no info  , -   ,0,,,,,,,,,,,,,,,,,,,,
